Municipio;cd_geocmu;TT17_Dominant
Tracuateua - PA;1508035;1
Trairão - PA;1508050;2
Trizidela do Vale - MA;2112233;1
Tucumã - PA;1508084;3
Tucuruí - PA;1508100;4
Tufilândia - MA;2112274;4
Tuntum - MA;2112308;4
Tupirama - TO;1721257;7
Tupiratins - TO;1721307;4
Turiaçu - MA;2112407;1
Turilândia - MA;2112456;1
Uarini - AM;1304260;1
Uiramutã - RR;1400704;1
Ulianópolis - PA;1508126;7
União do Sul - MT;5108303;4
Uruará - PA;1508159;3
Urucará - AM;1304302;1
Urucurituba - AM;1304401;2
Urupá - RO;1101708;3
Vale de São Domingos - MT;5108352;7
Vale do Anari - RO;1101757;3
Vale do Paraíso - RO;1101807;3
Vargem Grande - MA;2112704;3
Várzea Grande - MT;5108402;7
Vera - MT;5108501;7
Viana - MA;2112803;3
Vigia - PA;1508209;7
Vila Bela da Santíssima Trindade - MT;5105507;4
Vila Nova dos Martírios - MA;2112852;4
Vila Rica - MT;5108600;4
Vilhena - RO;1100304;7
Viseu - PA;1508308;2
Vitória do Jari - AP;1600808;2
Vitória do Mearim - MA;2112902;2
Vitória do Xingu - PA;1508357;5
Vitorino Freire - MA;2113009;7
Wanderlândia - TO;1722081;4
Xambioá - TO;1722107;4
Xapuri - AC;1200708;2
Xinguara - PA;1508407;4
Zé Doca - MA;2114007;
